date,pitcher_name,line,side,price,sportsbook,event_id,snapshot_time_et,source
2026-08-26,Adrian Houser,3.5,over,-138,fanduel,164051,2026-08-25T23:47:31.786165+00:00,propline_free_sample
2026-08-26,Adrian Houser,3.5,under,108,fanduel,164051,2026-08-25T23:47:31.786165+00:00,propline_free_sample
2026-08-26,Brady Singer,4.5,over,114,fanduel,164051,2026-08-25T20:38:07.868923+00:00,propline_free_sample
2026-08-26,Brady Singer,4.5,under,-146,fanduel,164051,2026-08-25T20:38:07.868923+00:00,propline_free_sample
2026-08-26,Adrian Houser,3.5,over,-175,sleeper,164051,2026-08-25T23:45:34.369574+00:00,propline_free_sample
2026-08-26,Adrian Houser,3.5,under,105,sleeper,164051,2026-08-26T00:49:11.396452+00:00,propline_free_sample
2026-08-26,Adrian Houser,3.5,over,-146,prophetx,164051,2026-08-26T01:42:58.559381+00:00,propline_free_sample
2026-08-26,Adrian Houser,3.5,under,136,prophetx,164051,2026-08-26T01:42:58.559381+00:00,propline_free_sample
2026-08-26,Brady Singer,4.5,over,-9750,prophetx,164051,2026-08-25T23:39:51.078747+00:00,propline_free_sample
2026-08-26,Brady Singer,4.5,under,-235,prophetx,164051,2026-08-26T01:41:15.620675+00:00,propline_free_sample
2026-08-26,Adrian Houser (SF),3.5,over,-145,bovada,164051,2026-08-25T17:08:50.169498+00:00,propline_free_sample
2026-08-26,Adrian Houser (SF),3.5,under,110,bovada,164051,2026-08-25T17:08:50.169498+00:00,propline_free_sample
2026-08-26,Brady Singer (CIN),4.5,over,115,bovada,164051,2026-08-25T17:08:50.169498+00:00,propline_free_sample
2026-08-26,Brady Singer (CIN),4.5,under,-150,bovada,164051,2026-08-25T17:08:50.169498+00:00,propline_free_sample
2026-08-26,Adrian Houser,4.0,over,100,prizepicks,164051,2026-08-25T18:22:18.948844+00:00,propline_free_sample
2026-08-26,Adrian Houser,4.0,under,100,prizepicks,164051,2026-08-25T18:22:18.948844+00:00,propline_free_sample
2026-08-26,Adrian Houser,4.5,over,100,prizepicks,164051,2026-08-25T05:47:38.337252+00:00,propline_free_sample
2026-08-26,Brady Singer,4.5,over,100,prizepicks,164051,2026-08-25T05:47:38.337252+00:00,propline_free_sample
2026-08-26,Adrian Houser,4.5,under,100,prizepicks,164051,2026-08-25T05:47:38.337252+00:00,propline_free_sample
2026-08-26,Brady Singer,4.5,under,100,prizepicks,164051,2026-08-25T05:47:38.337252+00:00,propline_free_sample
2026-08-26,Adrian Houser,5.5,over,100,prizepicks,164051,2026-08-25T05:47:38.337252+00:00,propline_free_sample
2026-08-26,Brady Singer,5.5,over,100,prizepicks,164051,2026-08-25T05:47:38.337252+00:00,propline_free_sample
2026-08-26,Adrian Houser,5.5,under,100,prizepicks,164051,2026-08-25T05:47:38.337252+00:00,propline_free_sample
2026-08-26,Brady Singer,5.5,under,100,prizepicks,164051,2026-08-25T05:47:38.337252+00:00,propline_free_sample
2026-08-26,Adrian Houser,6.5,over,100,prizepicks,164051,2026-08-25T05:47:38.337252+00:00,propline_free_sample
2026-08-26,Brady Singer,6.5,over,100,prizepicks,164051,2026-08-25T05:47:38.337252+00:00,propline_free_sample
2026-08-26,Adrian Houser,6.5,under,100,prizepicks,164051,2026-08-25T05:47:38.337252+00:00,propline_free_sample
2026-08-26,Brady Singer,6.5,under,100,prizepicks,164051,2026-08-25T05:47:38.337252+00:00,propline_free_sample
2026-08-26,Brady Singer,7.5,over,100,prizepicks,164051,2026-08-25T05:47:38.337252+00:00,propline_free_sample
2026-08-26,Brady Singer,7.5,under,100,prizepicks,164051,2026-08-25T05:47:38.337252+00:00,propline_free_sample
2026-08-26,Adrian Houser,1.5,over,100,prizepicks,164051,2026-08-25T05:47:38.337252+00:00,propline_free_sample
2026-08-26,Adrian Houser,1.5,under,100,prizepicks,164051,2026-08-25T05:47:38.337252+00:00,propline_free_sample
2026-08-26,Adrian Houser,2.5,over,100,prizepicks,164051,2026-08-25T05:47:38.337252+00:00,propline_free_sample
2026-08-26,Brady Singer,2.5,over,100,prizepicks,164051,2026-08-25T05:47:38.337252+00:00,propline_free_sample
2026-08-26,Adrian Houser,2.5,under,100,prizepicks,164051,2026-08-25T05:47:38.337252+00:00,propline_free_sample
2026-08-26,Brady Singer,2.5,under,100,prizepicks,164051,2026-08-25T05:47:38.337252+00:00,propline_free_sample
2026-08-26,Brady Singer,3.5,over,100,prizepicks,164051,2026-08-25T05:47:38.337252+00:00,propline_free_sample
2026-08-26,Brady Singer,3.5,under,100,prizepicks,164051,2026-08-25T05:47:38.337252+00:00,propline_free_sample
2026-08-26,Brady Singer,4.5,over,-102,sleeper,164051,2026-08-26T01:35:15.462728+00:00,propline_free_sample
2026-08-26,Brady Singer,4.5,under,-161,sleeper,164051,2026-08-25T23:41:29.147886+00:00,propline_free_sample
2026-08-26,Adrian Houser,3.5,over,-154,underdog,164051,2026-08-25T22:14:16.327893+00:00,propline_free_sample
2026-08-26,Brady Singer,4.5,over,115,underdog,164051,2026-08-25T21:48:24.545649+00:00,propline_free_sample
2026-08-26,Adrian Houser,3.5,under,114,underdog,164051,2026-08-25T22:14:16.327893+00:00,propline_free_sample
2026-08-26,Brady Singer,4.5,under,-152,underdog,164051,2026-08-25T06:09:17.715478+00:00,propline_free_sample
2026-08-26,Adrian Houser,3.5,over,-149,dabble,164051,2026-08-26T01:29:21.063110+00:00,propline_free_sample
2026-08-26,Brady Singer,4.5,over,110,dabble,164051,2026-08-25T05:58:33.399246+00:00,propline_free_sample
2026-08-26,Adrian Houser,3.5,under,150,dabble,164051,2026-08-26T00:36:58.405294+00:00,propline_free_sample
2026-08-26,Brady Singer,4.5,under,-109,dabble,164051,2026-08-25T05:58:33.399246+00:00,propline_free_sample
2026-08-26,Adrian Houser,3.5,over,-138,novig,164051,2026-08-26T01:43:56.949191+00:00,propline_free_sample
2026-08-26,Adrian Houser,3.5,under,133,novig,164051,2026-08-26T01:43:56.949191+00:00,propline_free_sample
2026-08-26,Brady Singer,4.5,over,113,novig,164051,2026-08-26T01:44:30.218603+00:00,propline_free_sample
