date,commence_time_utc,pitcher_name,line,side,price,sportsbook,event_id,home_team,away_team,vendor_snapshot_time,collected_at_utc,collected_at_et,snapshot_time_et,source
2026-08-27,2026-08-27 18:15:00+00:00,Trevor Rogers,4.5,over,-110,dabble,168339,St. Louis Cardinals,Baltimore Orioles,2026-08-27T18:11:59.254584+00:00,2026-08-27T23:52:12.362143+00:00,2026-08-27T19:52:12.362143-04:00,2026-08-27T19:52:12.362143-04:00,propline_free_sample
2026-08-27,2026-08-27 18:15:00+00:00,Trevor Rogers,4.5,under,111,dabble,168339,St. Louis Cardinals,Baltimore Orioles,2026-08-27T18:11:59.254584+00:00,2026-08-27T23:52:12.362143+00:00,2026-08-27T19:52:12.362143-04:00,2026-08-27T19:52:12.362143-04:00,propline_free_sample
2026-08-27,2026-08-27 18:15:00+00:00,Trevor Rogers,4.5,over,-164,smarkets,168339,St. Louis Cardinals,Baltimore Orioles,2026-08-27T15:21:20.700629+00:00,2026-08-27T23:52:12.362143+00:00,2026-08-27T19:52:12.362143-04:00,2026-08-27T19:52:12.362143-04:00,propline_free_sample
2026-08-27,2026-08-27 18:15:00+00:00,Trevor Rogers,4.5,under,116,smarkets,168339,St. Louis Cardinals,Baltimore Orioles,2026-08-27T15:21:20.700629+00:00,2026-08-27T23:52:12.362143+00:00,2026-08-27T19:52:12.362143-04:00,2026-08-27T19:52:12.362143-04:00,propline_free_sample
2026-08-27,2026-08-27 18:15:00+00:00,Trevor Rogers,4.5,over,-129,underdog,168339,St. Louis Cardinals,Baltimore Orioles,2026-08-27T16:49:48.462260+00:00,2026-08-27T23:52:12.362143+00:00,2026-08-27T19:52:12.362143-04:00,2026-08-27T19:52:12.362143-04:00,propline_free_sample
2026-08-27,2026-08-27 18:15:00+00:00,Trevor Rogers,4.5,under,-106,underdog,168339,St. Louis Cardinals,Baltimore Orioles,2026-08-27T16:49:48.462260+00:00,2026-08-27T23:52:12.362143+00:00,2026-08-27T19:52:12.362143-04:00,2026-08-27T19:52:12.362143-04:00,propline_free_sample
2026-08-27,2026-08-27 18:15:00+00:00,Trevor Rogers,4.5,over,100,prizepicks,168339,St. Louis Cardinals,Baltimore Orioles,2026-08-27T16:01:56.256189+00:00,2026-08-27T23:52:12.362143+00:00,2026-08-27T19:52:12.362143-04:00,2026-08-27T19:52:12.362143-04:00,propline_free_sample
2026-08-27,2026-08-27 18:15:00+00:00,Trevor Rogers,4.5,under,100,prizepicks,168339,St. Louis Cardinals,Baltimore Orioles,2026-08-27T16:01:56.256189+00:00,2026-08-27T23:52:12.362143+00:00,2026-08-27T19:52:12.362143-04:00,2026-08-27T19:52:12.362143-04:00,propline_free_sample
2026-08-27,2026-08-27 18:15:00+00:00,Trevor Rogers,6.5,over,100,prizepicks,168339,St. Louis Cardinals,Baltimore Orioles,2026-08-27T03:31:56.366144+00:00,2026-08-27T23:52:12.362143+00:00,2026-08-27T19:52:12.362143-04:00,2026-08-27T19:52:12.362143-04:00,propline_free_sample
2026-08-27,2026-08-27 18:15:00+00:00,Trevor Rogers,6.5,under,100,prizepicks,168339,St. Louis Cardinals,Baltimore Orioles,2026-08-27T03:31:56.366144+00:00,2026-08-27T23:52:12.362143+00:00,2026-08-27T19:52:12.362143-04:00,2026-08-27T19:52:12.362143-04:00,propline_free_sample
2026-08-27,2026-08-27 18:15:00+00:00,Trevor Rogers,3.5,over,100,prizepicks,168339,St. Louis Cardinals,Baltimore Orioles,2026-08-27T03:31:56.366144+00:00,2026-08-27T23:52:12.362143+00:00,2026-08-27T19:52:12.362143-04:00,2026-08-27T19:52:12.362143-04:00,propline_free_sample
2026-08-27,2026-08-27 18:15:00+00:00,Trevor Rogers,3.5,under,100,prizepicks,168339,St. Louis Cardinals,Baltimore Orioles,2026-08-27T03:31:56.366144+00:00,2026-08-27T23:52:12.362143+00:00,2026-08-27T19:52:12.362143-04:00,2026-08-27T19:52:12.362143-04:00,propline_free_sample
2026-08-27,2026-08-27 18:15:00+00:00,Trevor Rogers,4.5,over,100,prizepicks,168339,St. Louis Cardinals,Baltimore Orioles,2026-08-27T03:31:56.366144+00:00,2026-08-27T23:52:12.362143+00:00,2026-08-27T19:52:12.362143-04:00,2026-08-27T19:52:12.362143-04:00,propline_free_sample
2026-08-27,2026-08-27 18:15:00+00:00,Trevor Rogers,4.5,under,100,prizepicks,168339,St. Louis Cardinals,Baltimore Orioles,2026-08-27T03:31:56.366144+00:00,2026-08-27T23:52:12.362143+00:00,2026-08-27T19:52:12.362143-04:00,2026-08-27T19:52:12.362143-04:00,propline_free_sample
2026-08-27,2026-08-27 18:15:00+00:00,Trevor Rogers,4.5,over,-131,draftkings,168339,St. Louis Cardinals,Baltimore Orioles,2026-08-27T17:41:05.491005+00:00,2026-08-27T23:52:12.362143+00:00,2026-08-27T19:52:12.362143-04:00,2026-08-27T19:52:12.362143-04:00,propline_free_sample
2026-08-27,2026-08-27 18:15:00+00:00,Trevor Rogers,4.5,under,102,draftkings,168339,St. Louis Cardinals,Baltimore Orioles,2026-08-27T17:41:05.491005+00:00,2026-08-27T23:52:12.362143+00:00,2026-08-27T19:52:12.362143-04:00,2026-08-27T19:52:12.362143-04:00,propline_free_sample
2026-08-27,2026-08-27 18:15:00+00:00,Trevor Rogers,5.5,over,100,prizepicks,168339,St. Louis Cardinals,Baltimore Orioles,2026-08-27T04:29:09.874285+00:00,2026-08-27T23:52:12.362143+00:00,2026-08-27T19:52:12.362143-04:00,2026-08-27T19:52:12.362143-04:00,propline_free_sample
2026-08-27,2026-08-27 18:15:00+00:00,Trevor Rogers,5.5,under,100,prizepicks,168339,St. Louis Cardinals,Baltimore Orioles,2026-08-27T04:29:09.874285+00:00,2026-08-27T23:52:12.362143+00:00,2026-08-27T19:52:12.362143-04:00,2026-08-27T19:52:12.362143-04:00,propline_free_sample
2026-08-27,2026-08-27 18:15:00+00:00,Trevor Rogers,7.5,over,100,prizepicks,168339,St. Louis Cardinals,Baltimore Orioles,2026-08-27T04:29:09.874285+00:00,2026-08-27T23:52:12.362143+00:00,2026-08-27T19:52:12.362143-04:00,2026-08-27T19:52:12.362143-04:00,propline_free_sample
2026-08-27,2026-08-27 18:15:00+00:00,Trevor Rogers,7.5,under,100,prizepicks,168339,St. Louis Cardinals,Baltimore Orioles,2026-08-27T04:29:09.874285+00:00,2026-08-27T23:52:12.362143+00:00,2026-08-27T19:52:12.362143-04:00,2026-08-27T19:52:12.362143-04:00,propline_free_sample
2026-08-27,2026-08-27 18:15:00+00:00,Trevor Rogers,8.5,over,100,prizepicks,168339,St. Louis Cardinals,Baltimore Orioles,2026-08-27T04:29:09.874285+00:00,2026-08-27T23:52:12.362143+00:00,2026-08-27T19:52:12.362143-04:00,2026-08-27T19:52:12.362143-04:00,propline_free_sample
2026-08-27,2026-08-27 18:15:00+00:00,Trevor Rogers,8.5,under,100,prizepicks,168339,St. Louis Cardinals,Baltimore Orioles,2026-08-27T04:29:09.874285+00:00,2026-08-27T23:52:12.362143+00:00,2026-08-27T19:52:12.362143-04:00,2026-08-27T19:52:12.362143-04:00,propline_free_sample
2026-08-27,2026-08-27 18:15:00+00:00,Trevor Rogers,4.5,over,-139,sleeper,168339,St. Louis Cardinals,Baltimore Orioles,2026-08-27T17:39:31.119062+00:00,2026-08-27T23:52:12.362143+00:00,2026-08-27T19:52:12.362143-04:00,2026-08-27T19:52:12.362143-04:00,propline_free_sample
2026-08-27,2026-08-27 18:15:00+00:00,Trevor Rogers,4.5,under,-118,sleeper,168339,St. Louis Cardinals,Baltimore Orioles,2026-08-27T17:48:12.299430+00:00,2026-08-27T23:52:12.362143+00:00,2026-08-27T19:52:12.362143-04:00,2026-08-27T19:52:12.362143-04:00,propline_free_sample
2026-08-27,2026-08-27 18:15:00+00:00,Trevor Rogers,5.5,over,160,novig,168339,St. Louis Cardinals,Baltimore Orioles,2026-08-27T18:08:54.521331+00:00,2026-08-27T23:52:12.362143+00:00,2026-08-27T19:52:12.362143-04:00,2026-08-27T19:52:12.362143-04:00,propline_free_sample
2026-08-27,2026-08-27 18:15:00+00:00,Trevor Rogers,5.5,under,-182,novig,168339,St. Louis Cardinals,Baltimore Orioles,2026-08-27T17:14:34.153501+00:00,2026-08-27T23:52:12.362143+00:00,2026-08-27T19:52:12.362143-04:00,2026-08-27T19:52:12.362143-04:00,propline_free_sample
2026-08-27,2026-08-27 18:15:00+00:00,Trevor Rogers,9.5,over,100,prizepicks,168339,St. Louis Cardinals,Baltimore Orioles,2026-08-27T04:39:47.286470+00:00,2026-08-27T23:52:12.362143+00:00,2026-08-27T19:52:12.362143-04:00,2026-08-27T19:52:12.362143-04:00,propline_free_sample
2026-08-27,2026-08-27 18:15:00+00:00,Trevor Rogers,9.5,under,100,prizepicks,168339,St. Louis Cardinals,Baltimore Orioles,2026-08-27T04:39:47.286470+00:00,2026-08-27T23:52:12.362143+00:00,2026-08-27T19:52:12.362143-04:00,2026-08-27T19:52:12.362143-04:00,propline_free_sample
2026-08-27,2026-08-27 18:15:00+00:00,Trevor Rogers,2.5,over,100,prizepicks,168339,St. Louis Cardinals,Baltimore Orioles,2026-08-27T04:39:47.286470+00:00,2026-08-27T23:52:12.362143+00:00,2026-08-27T19:52:12.362143-04:00,2026-08-27T19:52:12.362143-04:00,propline_free_sample
2026-08-27,2026-08-27 18:15:00+00:00,Trevor Rogers,2.5,under,100,prizepicks,168339,St. Louis Cardinals,Baltimore Orioles,2026-08-27T04:39:47.286470+00:00,2026-08-27T23:52:12.362143+00:00,2026-08-27T19:52:12.362143-04:00,2026-08-27T19:52:12.362143-04:00,propline_free_sample
2026-08-27,2026-08-27 18:15:00+00:00,Trevor Rogers,4.5,over,-113,novig,168339,St. Louis Cardinals,Baltimore Orioles,2026-08-27T18:13:26.665918+00:00,2026-08-27T23:52:12.362143+00:00,2026-08-27T19:52:12.362143-04:00,2026-08-27T19:52:12.362143-04:00,propline_free_sample
2026-08-27,2026-08-27 18:15:00+00:00,Trevor Rogers,4.5,under,-106,novig,168339,St. Louis Cardinals,Baltimore Orioles,2026-08-27T17:53:37.105623+00:00,2026-08-27T23:52:12.362143+00:00,2026-08-27T19:52:12.362143-04:00,2026-08-27T19:52:12.362143-04:00,propline_free_sample
2026-08-27,2026-08-27 18:15:00+00:00,Trevor Rogers,4.5,over,-165,onexbet,168339,St. Louis Cardinals,Baltimore Orioles,2026-08-27T15:00:58.850380+00:00,2026-08-27T23:52:12.362143+00:00,2026-08-27T19:52:12.362143-04:00,2026-08-27T19:52:12.362143-04:00,propline_free_sample
2026-08-27,2026-08-27 18:15:00+00:00,Trevor Rogers,4.5,under,125,onexbet,168339,St. Louis Cardinals,Baltimore Orioles,2026-08-27T15:00:58.850380+00:00,2026-08-27T23:52:12.362143+00:00,2026-08-27T19:52:12.362143-04:00,2026-08-27T19:52:12.362143-04:00,propline_free_sample
2026-08-27,2026-08-27 18:15:00+00:00,Trevor Rogers,2.5,over,-4900,kalshi,168339,St. Louis Cardinals,Baltimore Orioles,2026-08-27T15:17:50.841461+00:00,2026-08-27T23:52:12.362143+00:00,2026-08-27T19:52:12.362143-04:00,2026-08-27T19:52:12.362143-04:00,propline_free_sample
2026-08-27,2026-08-27 18:15:00+00:00,Trevor Rogers,2.5,under,9900,kalshi,168339,St. Louis Cardinals,Baltimore Orioles,2026-08-27T15:17:50.841461+00:00,2026-08-27T23:52:12.362143+00:00,2026-08-27T19:52:12.362143-04:00,2026-08-27T19:52:12.362143-04:00,propline_free_sample
2026-08-27,2026-08-27 18:15:00+00:00,Trevor Rogers,3.5,over,-4900,kalshi,168339,St. Louis Cardinals,Baltimore Orioles,2026-08-27T17:59:10.848283+00:00,2026-08-27T23:52:12.362143+00:00,2026-08-27T19:52:12.362143-04:00,2026-08-27T19:52:12.362143-04:00,propline_free_sample
2026-08-27,2026-08-27 18:15:00+00:00,Trevor Rogers,3.5,under,9900,kalshi,168339,St. Louis Cardinals,Baltimore Orioles,2026-08-27T17:59:10.848283+00:00,2026-08-27T23:52:12.362143+00:00,2026-08-27T19:52:12.362143-04:00,2026-08-27T19:52:12.362143-04:00,propline_free_sample
2026-08-27,2026-08-27 18:15:00+00:00,Trevor Rogers,4.5,over,-669,kalshi,168339,St. Louis Cardinals,Baltimore Orioles,2026-08-27T17:46:33.655811+00:00,2026-08-27T23:52:12.362143+00:00,2026-08-27T19:52:12.362143-04:00,2026-08-27T19:52:12.362143-04:00,propline_free_sample
2026-08-27,2026-08-27 18:15:00+00:00,Trevor Rogers,4.5,under,9900,kalshi,168339,St. Louis Cardinals,Baltimore Orioles,2026-08-27T18:04:22.278416+00:00,2026-08-27T23:52:12.362143+00:00,2026-08-27T19:52:12.362143-04:00,2026-08-27T19:52:12.362143-04:00,propline_free_sample
2026-08-27,2026-08-27 18:15:00+00:00,Trevor Rogers,5.5,over,-223,kalshi,168339,St. Louis Cardinals,Baltimore Orioles,2026-08-27T15:48:07.343563+00:00,2026-08-27T23:52:12.362143+00:00,2026-08-27T19:52:12.362143-04:00,2026-08-27T19:52:12.362143-04:00,propline_free_sample
2026-08-27,2026-08-27 18:15:00+00:00,Trevor Rogers,5.5,under,9900,kalshi,168339,St. Louis Cardinals,Baltimore Orioles,2026-08-27T15:48:07.343563+00:00,2026-08-27T23:52:12.362143+00:00,2026-08-27T19:52:12.362143-04:00,2026-08-27T19:52:12.362143-04:00,propline_free_sample
