date,event_id,away_team,home_team,pitcher_name,side,line,price,sportsbook,market_key,commence_time_utc,collected_at_utc,snapshot_time_et,source_last_update,source
2026-09-01,0d8e1807210d19a49240ad01d066fb7f,San Francisco Giants,Pittsburgh Pirates,Logan Webb,over,2.5,-1800,FanDuel,pitcher_strikeouts_alternate,2026-09-01T22:42:00+00:00,2026-09-01T22:51:38.950196+00:00,2026-09-01T18:51:38.950196-04:00,2026-09-01T22:51:07Z,the_odds_api_fanduel_fallback
2026-09-01,0d8e1807210d19a49240ad01d066fb7f,San Francisco Giants,Pittsburgh Pirates,Logan Webb,over,3.5,-500,FanDuel,pitcher_strikeouts_alternate,2026-09-01T22:42:00+00:00,2026-09-01T22:51:38.950196+00:00,2026-09-01T18:51:38.950196-04:00,2026-09-01T22:51:07Z,the_odds_api_fanduel_fallback
2026-09-01,0d8e1807210d19a49240ad01d066fb7f,San Francisco Giants,Pittsburgh Pirates,Logan Webb,over,4.5,-180,FanDuel,pitcher_strikeouts,2026-09-01T22:42:00+00:00,2026-09-01T22:51:38.950196+00:00,2026-09-01T18:51:38.950196-04:00,2026-09-01T22:40:51Z,the_odds_api_fanduel_fallback
2026-09-01,0d8e1807210d19a49240ad01d066fb7f,San Francisco Giants,Pittsburgh Pirates,Logan Webb,over,4.5,-184,FanDuel,pitcher_strikeouts_alternate,2026-09-01T22:42:00+00:00,2026-09-01T22:51:38.950196+00:00,2026-09-01T18:51:38.950196-04:00,2026-09-01T22:51:07Z,the_odds_api_fanduel_fallback
2026-09-01,0d8e1807210d19a49240ad01d066fb7f,San Francisco Giants,Pittsburgh Pirates,Logan Webb,under,4.5,140,FanDuel,pitcher_strikeouts,2026-09-01T22:42:00+00:00,2026-09-01T22:51:38.950196+00:00,2026-09-01T18:51:38.950196-04:00,2026-09-01T22:40:51Z,the_odds_api_fanduel_fallback
2026-09-01,0d8e1807210d19a49240ad01d066fb7f,San Francisco Giants,Pittsburgh Pirates,Logan Webb,over,5.5,112,FanDuel,pitcher_strikeouts_alternate,2026-09-01T22:42:00+00:00,2026-09-01T22:51:38.950196+00:00,2026-09-01T18:51:38.950196-04:00,2026-09-01T22:51:07Z,the_odds_api_fanduel_fallback
2026-09-01,0d8e1807210d19a49240ad01d066fb7f,San Francisco Giants,Pittsburgh Pirates,Logan Webb,over,6.5,235,FanDuel,pitcher_strikeouts_alternate,2026-09-01T22:42:00+00:00,2026-09-01T22:51:38.950196+00:00,2026-09-01T18:51:38.950196-04:00,2026-09-01T22:51:07Z,the_odds_api_fanduel_fallback
2026-09-01,0d8e1807210d19a49240ad01d066fb7f,San Francisco Giants,Pittsburgh Pirates,Logan Webb,over,7.5,500,FanDuel,pitcher_strikeouts_alternate,2026-09-01T22:42:00+00:00,2026-09-01T22:51:38.950196+00:00,2026-09-01T18:51:38.950196-04:00,2026-09-01T22:51:07Z,the_odds_api_fanduel_fallback
2026-09-01,0d8e1807210d19a49240ad01d066fb7f,San Francisco Giants,Pittsburgh Pirates,Paul Skenes,over,2.5,-1100,FanDuel,pitcher_strikeouts_alternate,2026-09-01T22:42:00+00:00,2026-09-01T22:51:38.950196+00:00,2026-09-01T18:51:38.950196-04:00,2026-09-01T22:51:07Z,the_odds_api_fanduel_fallback
2026-09-01,0d8e1807210d19a49240ad01d066fb7f,San Francisco Giants,Pittsburgh Pirates,Paul Skenes,over,3.5,-400,FanDuel,pitcher_strikeouts_alternate,2026-09-01T22:42:00+00:00,2026-09-01T22:51:38.950196+00:00,2026-09-01T18:51:38.950196-04:00,2026-09-01T22:51:07Z,the_odds_api_fanduel_fallback
2026-09-01,0d8e1807210d19a49240ad01d066fb7f,San Francisco Giants,Pittsburgh Pirates,Paul Skenes,over,4.5,-172,FanDuel,pitcher_strikeouts_alternate,2026-09-01T22:42:00+00:00,2026-09-01T22:51:38.950196+00:00,2026-09-01T18:51:38.950196-04:00,2026-09-01T22:51:07Z,the_odds_api_fanduel_fallback
