away_score,away_team,close_away_odds,close_away_spread,close_home_odds,close_home_spread,close_over_odds,close_total,close_under_odds,date,game_type,home_score,home_team,market,open_away_odds,open_away_spread,open_home_odds,open_home_spread,open_over_odds,open_total,open_under_odds,sportsbook,start_datetime,status,venue
5,Miami Marlins,,,,,-130,7.5,100,2025-07-25,R,1,Milwaukee Brewers,totals,,,,,-115,8,-105,betmgm,2025-07-25T20:10:00+00:00,Final,American Family Field
5,Miami Marlins,,,,,-102,8,-120,2025-07-25,R,1,Milwaukee Brewers,totals,,,,,-115,8,-105,fanduel,2025-07-25T20:10:00+00:00,Final,American Family Field
5,Miami Marlins,,,,,-105,8,-115,2025-07-25,R,1,Milwaukee Brewers,totals,,,,,-115,8,-105,caesars,2025-07-25T20:10:00+00:00,Final,American Family Field
5,Miami Marlins,,,,,-110,8,-110,2025-07-25,R,1,Milwaukee Brewers,totals,,,,,-115,8,-105,bet365,2025-07-25T20:10:00+00:00,Final,American Family Field
5,Miami Marlins,,,,,-101,8.5,-128,2025-07-25,R,1,Milwaukee Brewers,totals,,,,,-119,8,-102,draftkings,2025-07-25T20:10:00+00:00,Final,American Family Field
5,Miami Marlins,,,,,-120,8,-117,2025-07-25,R,1,Milwaukee Brewers,totals,,,,,-117,8,-109,bet_rivers_ny,2025-07-25T20:10:00+00:00,Final,American Family Field
1,Arizona Diamondbacks,-115,,-105,,,,,2025-07-25,R,0,Pittsburgh Pirates,moneyline,-130,,110,,,,,betmgm,2025-07-25T22:40:00+00:00,Final (11),PNC Park
1,Arizona Diamondbacks,-118,,-108,,,,,2025-07-25,R,0,Pittsburgh Pirates,moneyline,-136,,116,,,,,fanduel,2025-07-25T22:40:00+00:00,Final (11),PNC Park
1,Arizona Diamondbacks,-115,,-105,,,,,2025-07-25,R,0,Pittsburgh Pirates,moneyline,-130,,110,,,,,caesars,2025-07-25T22:40:00+00:00,Final (11),PNC Park
1,Arizona Diamondbacks,-110,,-110,,,,,2025-07-25,R,0,Pittsburgh Pirates,moneyline,-130,,110,,,,,bet365,2025-07-25T22:40:00+00:00,Final (11),PNC Park
1,Arizona Diamondbacks,-120,,-108,,,,,2025-07-25,R,0,Pittsburgh Pirates,moneyline,-132,,108,,,,,draftkings,2025-07-25T22:40:00+00:00,Final (11),PNC Park
1,Arizona Diamondbacks,-127,,-109,,,,,2025-07-25,R,0,Pittsburgh Pirates,moneyline,-127,,102,,,,,bet_rivers_ny,2025-07-25T22:40:00+00:00,Final (11),PNC Park
1,Arizona Diamondbacks,145,-1.5,-175,1.5,,,,2025-07-25,R,0,Pittsburgh Pirates,pointspread,125,-1.5,-150,1.5,,,,betmgm,2025-07-25T22:40:00+00:00,Final (11),PNC Park
1,Arizona Diamondbacks,142,-1.5,-192,1.5,,,,2025-07-25,R,0,Pittsburgh Pirates,pointspread,122,-1.5,-146,1.5,,,,fanduel,2025-07-25T22:40:00+00:00,Final (11),PNC Park
1,Arizona Diamondbacks,150,-1.5,-179,1.5,,,,2025-07-25,R,0,Pittsburgh Pirates,pointspread,130,-1.5,-154,1.5,,,,caesars,2025-07-25T22:40:00+00:00,Final (11),PNC Park
1,Arizona Diamondbacks,150,-1.5,-180,1.5,,,,2025-07-25,R,0,Pittsburgh Pirates,pointspread,125,-1.5,-150,1.5,,,,bet365,2025-07-25T22:40:00+00:00,Final (11),PNC Park
1,Arizona Diamondbacks,130,-1.5,-170,1.5,,,,2025-07-25,R,0,Pittsburgh Pirates,pointspread,133,-1.5,-163,1.5,,,,draftkings,2025-07-25T22:40:00+00:00,Final (11),PNC Park
