away_score,away_team,close_away_odds,close_away_spread,close_home_odds,close_home_spread,close_over_odds,close_total,close_under_odds,date,game_type,home_score,home_team,market,open_away_odds,open_away_spread,open_home_odds,open_home_spread,open_over_odds,open_total,open_under_odds,sportsbook,start_datetime,status,venue
6,Baltimore Orioles,,,,,-107,9,-114,2023-07-05,R,3,New York Yankees,totals,,,,,-117,9.5,-106,bet_rivers_ny,2023-07-05T23:05:00+00:00,Final,Yankee Stadium
8,Atlanta Braves,-175,,145,,,,,2023-07-05,R,1,Cleveland Guardians,moneyline,-160,,135,,,,,betmgm,2023-07-05T23:10:00+00:00,Final,Progressive Field
8,Atlanta Braves,-196,,164,,,,,2023-07-05,R,1,Cleveland Guardians,moneyline,-148,,126,,,,,fanduel,2023-07-05T23:10:00+00:00,Final,Progressive Field
8,Atlanta Braves,-196,,162,,,,,2023-07-05,R,1,Cleveland Guardians,moneyline,-161,,135,,,,,caesars,2023-07-05T23:10:00+00:00,Final,Progressive Field
8,Atlanta Braves,-175,,155,,,,,2023-07-05,R,1,Cleveland Guardians,moneyline,-155,,135,,,,,bet365,2023-07-05T23:10:00+00:00,Final,Progressive Field
8,Atlanta Braves,-180,,155,,,,,2023-07-05,R,1,Cleveland Guardians,moneyline,-145,,125,,,,,draftkings,2023-07-05T23:10:00+00:00,Final,Progressive Field
8,Atlanta Braves,-177,,148,,,,,2023-07-05,R,1,Cleveland Guardians,moneyline,-167,,138,,,,,bet_rivers_ny,2023-07-05T23:10:00+00:00,Final,Progressive Field
8,Atlanta Braves,-115,-1.5,-105,1.5,,,,2023-07-05,R,1,Cleveland Guardians,pointspread,-105,-1.5,-115,1.5,,,,betmgm,2023-07-05T23:10:00+00:00,Final,Progressive Field
8,Atlanta Braves,-137,-1.5,114,1.5,,,,2023-07-05,R,1,Cleveland Guardians,pointspread,108,-1.5,-130,1.5,,,,fanduel,2023-07-05T23:10:00+00:00,Final,Progressive Field
8,Atlanta Braves,-125,-1.5,105,1.5,,,,2023-07-05,R,1,Cleveland Guardians,pointspread,100,-1.5,-120,1.5,,,,caesars,2023-07-05T23:10:00+00:00,Final,Progressive Field
8,Atlanta Braves,-130,-1.5,110,1.5,,,,2023-07-05,R,1,Cleveland Guardians,pointspread,100,-1.5,-120,1.5,,,,bet365,2023-07-05T23:10:00+00:00,Final,Progressive Field
8,Atlanta Braves,-125,-1.5,105,1.5,,,,2023-07-05,R,1,Cleveland Guardians,pointspread,105,-1.5,-125,1.5,,,,draftkings,2023-07-05T23:10:00+00:00,Final,Progressive Field
8,Atlanta Braves,-115,-1.5,-108,1.5,,,,2023-07-05,R,1,Cleveland Guardians,pointspread,-108,-1.5,-118,1.5,,,,bet_rivers_ny,2023-07-05T23:10:00+00:00,Final,Progressive Field
8,Atlanta Braves,,,,,-115,10.5,-105,2023-07-05,R,1,Cleveland Guardians,totals,,,,,-115,9.5,-105,betmgm,2023-07-05T23:10:00+00:00,Final,Progressive Field
8,Atlanta Braves,,,,,-105,10.5,-115,2023-07-05,R,1,Cleveland Guardians,totals,,,,,-110,9.5,-110,fanduel,2023-07-05T23:10:00+00:00,Final,Progressive Field
8,Atlanta Braves,,,,,-120,10.5,100,2023-07-05,R,1,Cleveland Guardians,totals,,,,,-115,9.5,-105,caesars,2023-07-05T23:10:00+00:00,Final,Progressive Field
8,Atlanta Braves,,,,,-115,10.5,-105,2023-07-05,R,1,Cleveland Guardians,totals,,,,,-105,9.5,-115,bet365,2023-07-05T23:10:00+00:00,Final,Progressive Field
8,Atlanta Braves,,,,,-115,10.5,-105,2023-07-05,R,1,Cleveland Guardians,totals,,,,,-115,10,-105,draftkings,2023-07-05T23:10:00+00:00,Final,Progressive Field
8,Atlanta Braves,,,,,-112,10.5,-110,2023-07-05,R,1,Cleveland Guardians,totals,,,,,-108,9.5,-113,bet_rivers_ny,2023-07-05T23:10:00+00:00,Final,Progressive Field
2,Texas Rangers,-115,,-105,,,,,2023-07-05,R,4,Boston Red Sox,moneyline,-105,,-115,,,,,betmgm,2023-07-05T23:10:00+00:00,Final,Fenway Park
2,Texas Rangers,-102,,-124,,,,,2023-07-05,R,4,Boston Red Sox,moneyline,-102,,-116,,,,,fanduel,2023-07-05T23:10:00+00:00,Final,Fenway Park
2,Texas Rangers,-115,,-105,,,,,2023-07-05,R,4,Boston Red Sox,moneyline,-105,,-115,,,,,caesars,2023-07-05T23:10:00+00:00,Final,Fenway Park
2,Texas Rangers,-115,,-105,,,,,2023-07-05,R,4,Boston Red Sox,moneyline,-105,,-115,,,,,bet365,2023-07-05T23:10:00+00:00,Final,Fenway Park
2,Texas Rangers,-115,,-105,,,,,2023-07-05,R,4,Boston Red Sox,moneyline,-115,,-105,,,,,draftkings,2023-07-05T23:10:00+00:00,Final,Fenway Park
2,Texas Rangers,-117,,-104,,,,,2023-07-05,R,4,Boston Red Sox,moneyline,-112,,-108,,,,,bet_rivers_ny,2023-07-05T23:10:00+00:00,Final,Fenway Park
2,Texas Rangers,140,-1.5,-165,1.5,,,,2023-07-05,R,4,Boston Red Sox,pointspread,145,-1.5,-175,1.5,,,,betmgm,2023-07-05T23:10:00+00:00,Final,Fenway Park
2,Texas Rangers,-210,1.5,162,-1.5,,,,2023-07-05,R,4,Boston Red Sox,pointspread,152,-1.5,-184,1.5,,,,fanduel,2023-07-05T23:10:00+00:00,Final,Fenway Park
2,Texas Rangers,-222,1.5,180,-1.5,,,,2023-07-05,R,4,Boston Red Sox,pointspread,158,-1.5,-189,1.5,,,,caesars,2023-07-05T23:10:00+00:00,Final,Fenway Park
2,Texas Rangers,-220,1.5,180,-1.5,,,,2023-07-05,R,4,Boston Red Sox,pointspread,155,-1.5,-175,1.5,,,,bet365,2023-07-05T23:10:00+00:00,Final,Fenway Park
2,Texas Rangers,145,-1.5,-170,1.5,,,,2023-07-05,R,4,Boston Red Sox,pointspread,140,-1.5,-165,1.5,,,,draftkings,2023-07-05T23:10:00+00:00,Final,Fenway Park
2,Texas Rangers,108,-1,-136,1,,,,2023-07-05,R,4,Boston Red Sox,pointspread,112,-1,-143,1,,,,bet_rivers_ny,2023-07-05T23:10:00+00:00,Final,Fenway Park
2,Texas Rangers,,,,,-110,9.5,-110,2023-07-05,R,4,Boston Red Sox,totals,,,,,-110,9.5,-110,betmgm,2023-07-05T23:10:00+00:00,Final,Fenway Park
2,Texas Rangers,,,,,-108,9.5,-118,2023-07-05,R,4,Boston Red Sox,totals,,,,,-105,10,-115,fanduel,2023-07-05T23:10:00+00:00,Final,Fenway Park
